customer_id,open_date,gender,age,married,number_of_dependents,satisfaction_score,customer_status,cltv,number_of_referrals,tenure_in_months,offer,phone_service,multiple_lines,internet_service,internet_type,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,contract,payment_method,monthly_charge,total_revenue,churn_category,churn_date,churn_reason
6352-GIGGQ,2020-01-05,Male,19,No,0,3,Stayed,4081,0,67,Offer A,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,88.8,8403.59,,,
3635-QQRQD,2020-06-20,Male,19,No,0,4,Stayed,4568,0,62,No Offer,Yes,No,No,,No,No,No,No,No,No,Two Year,Credit Card,20.05,3289.81,,,
9861-PDSZP,2019-08-25,Female,19,No,0,3,Stayed,5430,0,72,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,108.05,8530.2,,,
1629-DQQVB,2024-06-14,Female,19,No,0,3,Stayed,2331,0,14,No Offer,Yes,No,Yes,Cable,Yes,No,No,No,No,No,Month-to-Month,Bank Withdrawal,50.1,1216.58,,,
1544-JJMYL,2023-05-11,Male,19,No,0,3,Stayed,2450,0,27,No Offer,Yes,No,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One Year,Credit Card,69.35,2909.83,,,
5951-AOFIH,2022-11-09,Male,19,No,0,5,Stayed,3843,0,33,No Offer,Yes,No,Yes,Cable,No,Yes,Yes,No,Yes,No,Month-to-Month,Credit Card,66.4,3754.16,,,
0577-WHMEV,2024-04-17,Female,19,Yes,0,3,Stayed,4839,2,16,Offer D,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Month-to-Month,Bank Withdrawal,90.7,1820.18,,,
7975-JMZNT,2020-02-10,Male,19,Yes,0,3,Stayed,5453,1,66,Offer A,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,91.7,7611.72,,,
9895-VFOXH,2025-07-23,Female,19,No,0,5,Joined,5092,0,1,No Offer,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-Month,Credit Card,24.4,34.4,,,
5032-MIYKT,2025-07-10,Female,19,No,0,3,Joined,4056,0,1,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Credit Card,70.7,109.51,,,
0584-BJQGZ,2023-07-20,Female,19,No,0,4,Stayed,4855,0,25,No Offer,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Bank Withdrawal,78.35,2539.15,,,
0254-FNMCI,2019-08-26,Female,19,No,0,4,Stayed,5234,0,72,No Offer,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,109.9,10641.72,,,
1848-LBZHY,2025-01-22,Female,19,Yes,0,3,Stayed,2547,7,7,No Offer,Yes,No,Yes,DSL,Yes,No,No,No,No,No,Month-to-Month,Bank Withdrawal,50.3,587.78,,,
7245-JMTTQ,2021-05-18,Female,19,No,0,4,Stayed,4363,0,51,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,111.5,7936.54,,,
3589-PPVKW,2024-11-26,Male,19,No,0,4,Stayed,5457,0,9,Offer E,Yes,No,Yes,DSL,No,No,No,No,No,No,Month-to-Month,Credit Card,44.4,696.0,,,
9860-LISIZ,2022-10-17,Female,19,No,0,5,Stayed,2864,0,34,No Offer,Yes,No,No,,No,No,No,No,No,No,Month-to-Month,Credit Card,20.35,1922.7,,,
7879-CGSFV,2021-01-25,Male,19,No,0,4,Stayed,5101,0,55,Offer B,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,One Year,Credit Card,100.9,7872.5,,,
8034-RYTVV,2021-01-21,Female,19,No,0,4,Stayed,5735,0,55,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,One Year,Credit Card,84.25,7056.6,,,
5044-LRQAQ,2025-01-20,Female,19,Yes,0,3,Stayed,2551,8,7,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,69.2,766.09,,,
5919-VCZYM,2025-06-25,Male,19,No,0,5,Joined,4394,0,2,No Offer,Yes,No,No,,No,No,No,No,No,No,Month-to-Month,Credit Card,20.05,123.26,,,
2458-EOMRE,2024-09-22,Female,19,No,0,4,Stayed,4171,0,11,Offer D,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,64.05,1274.51,,,
9386-LDCZR,2022-01-18,Male,19,No,0,3,Stayed,2496,0,43,Offer B,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,One Year,Credit Card,90.65,5463.84,,,
9114-VEPUF,2020-06-14,Male,19,Yes,0,4,Stayed,6139,4,62,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,One Year,Bank Withdrawal,96.1,7893.07,,,
6603-YRDCJ,2022-11-20,Male,19,Yes,0,3,Stayed,3215,3,33,Offer C,Yes,No,Yes,DSL,Yes,Yes,No,Yes,No,No,Two Year,Credit Card,61.05,2542.77,,,
7054-ENNGU,2024-11-26,Female,19,Yes,0,4,Stayed,4623,4,9,No Offer,Yes,No,Yes,Cable,No,Yes,No,No,No,No,Month-to-Month,Credit Card,50.85,579.91,,,
6156-UZDLF,2023-06-04,Female,19,No,0,3,Stayed,5689,0,26,Offer C,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,One Year,Credit Card,87.15,3466.44,,,
9500-WBGRP,2019-11-11,Male,19,No,0,3,Stayed,4535,0,69,Offer A,Yes,No,No,,No,No,No,No,No,No,Two Year,Credit Card,19.1,4200.66,,,
3417-TSCIC,2023-03-25,Male,19,No,0,5,Stayed,4161,0,29,No Offer,No,No,Yes,DSL,No,No,No,No,No,No,One Year,Credit Card,24.85,788.05,,,
6549-BTYPG,2020-08-14,Female,19,Yes,0,5,Stayed,5784,5,60,No Offer,No,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,60.8,3603.45,,,
3214-IYUUQ,2020-07-11,Female,19,Yes,0,3,Stayed,4300,0,61,No Offer,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,Yes,One Year,Bank Withdrawal,93.7,6483.51,,,
1535-VTJOQ,2023-08-17,Female,19,No,0,5,Stayed,3904,0,24,No Offer,Yes,Yes,No,,No,No,No,No,No,No,Two Year,Credit Card,25.15,1192.36,,,
8404-FYDIB,2023-06-23,Male,19,No,0,3,Stayed,4469,0,26,Offer C,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Month-to-Month,Credit Card,86.65,3505.37,,,
8292-FRFZQ,2022-05-13,Female,19,No,0,4,Stayed,3445,0,39,Offer C,No,No,Yes,DSL,Yes,Yes,No,Yes,No,No,One Year,Bank Withdrawal,41.15,1700.9,,,
9588-YRFHY,2021-07-21,Male,19,No,0,3,Stayed,5240,0,49,Offer B,Yes,No,No,,No,No,No,No,No,No,Two Year,Credit Card,19.9,1329.34,,,
8773-HHUOZ,2024-03-20,Female,20,No,0,1,Churned,3022,0,17,No Offer,Yes,No,Yes,Cable,No,No,No,No,Yes,Yes,Month-to-Month,Credit Card,64.7,1782.45,Competitor,2025-08-22,Competitor offered higher download speeds
4484-GLZOU,2021-04-22,Female,20,Yes,0,2,Churned,4839,6,52,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Bank Withdrawal,105.05,6147.93,Other,2025-08-27,Don't know
7752-XUSCI,2020-08-23,Female,20,No,0,2,Churned,4105,0,60,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Bank Withdrawal,105.9,7038.45,Other,2025-08-23,Don't know
4765-OXPPD,2024-11-10,Female,20,Yes,0,1,Churned,3983,1,9,Offer E,Yes,No,Yes,Cable,Yes,Yes,Yes,Yes,No,No,Month-to-Month,Mailed Check,65.0,720.2,Competitor,2025-08-15,Competitor offered more data
7207-RMRDB,2020-03-17,Female,20,Yes,0,1,Churned,5720,7,65,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Bank Withdrawal,105.5,9204.75,Competitor,2025-08-18,Competitor had better devices
2239-JALAW,2020-10-07,Male,20,No,0,1,Churned,6105,0,58,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,One Year,Bank Withdrawal,103.25,8598.65,Competitor,2025-08-10,Competitor made better offer
7993-PYKOF,2024-12-04,Male,20,Yes,0,1,Churned,2587,1,8,No Offer,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,Month-to-Month,Bank Withdrawal,75.0,675.67,Dissatisfaction,2025-08-04,Network reliability
6960-HVYXR,2025-07-16,Female,20,No,0,1,Churned,2567,0,1,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,76.0,111.01,Competitor,2025-08-20,Competitor made better offer
1571-SAVHK,2024-08-09,Male,20,No,0,1,Churned,5598,0,12,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Credit Card,99.95,1590.67,Competitor,2025-08-11,Competitor had better devices
3186-BAXNB,2025-07-06,Female,20,No,0,3,Churned,4319,0,1,Offer E,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Month-to-Month,Bank Withdrawal,91.7,108.93,Attitude,2025-08-08,Attitude of service provider
5922-ABDVO,2024-01-03,Female,20,Yes,0,3,Churned,3046,1,19,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Credit Card,89.65,2253.54,Attitude,2025-08-08,Attitude of support person
2506-CLAKW,2025-02-08,Female,20,No,0,1,Churned,3578,0,6,Offer E,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,98.15,689.01,Attitude,2025-08-13,Attitude of support person
7508-MYBOG,2024-06-07,Male,20,Yes,0,1,Churned,2177,1,14,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,Month-to-Month,Bank Withdrawal,86.1,1337.19,Competitor,2025-08-09,Competitor had better devices
1428-GTBJJ,2024-09-16,Male,20,No,0,2,Churned,4601,0,11,No Offer,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,Bank Withdrawal,74.55,884.15,Price,2025-08-16,Long distance charges
7274-RTAPZ,2025-07-12,Male,20,No,0,1,Churned,3898,0,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-Month,Bank Withdrawal,90.55,97.7,Dissatisfaction,2025-08-17,Product dissatisfaction
7594-RQHXR,2025-07-03,Female,20,No,0,2,Churned,3108,0,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,79.6,101.32,Other,2025-08-06,Deceased
5759-RCVCB,2025-05-20,Female,20,No,0,1,Churned,5450,0,3,Offer E,No,No,Yes,DSL,No,No,No,No,Yes,No,Month-to-Month,Credit Card,35.2,108.95,Competitor,2025-08-21,Competitor had better devices
2777-PHDEI,2025-07-08,Female,20,No,0,1,Churned,3458,0,1,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,Month-to-Month,Bank Withdrawal,78.05,117.46,Competitor,2025-08-08,Competitor offered more data
2157-MXBJS,2024-07-15,Male,20,Yes,0,3,Churned,4800,1,13,Offer D,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,One Year,Credit Card,75.3,1525.31,Dissatisfaction,2025-08-19,Network reliability
0378-TOVMS,2025-05-03,Female,20,No,0,1,Churned,5641,0,3,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,85.8,304.0,Competitor,2025-08-07,Competitor had better devices
3669-LVWZB,2025-03-16,Male,20,No,0,2,Churned,4630,0,5,No Offer,No,No,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-Month,Mailed Check,51.0,305.95,Price,2025-08-18,Long distance charges
5366-IJEQJ,2023-12-20,Male,20,No,0,1,Churned,4115,0,20,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Month-to-Month,Bank Withdrawal,88.7,1872.25,Other,2025-08-24,Don't know
0877-SDMBN,2021-02-19,Female,20,No,0,3,Churned,6117,0,54,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,One Year,Bank Withdrawal,103.95,7986.43,Competitor,2025-08-19,Competitor made better offer
9637-EIHEQ,2025-07-09,Female,20,No,0,2,Churned,4535,0,1,No Offer,Yes,No,Yes,Cable,No,No,No,Yes,No,No,Month-to-Month,Bank Withdrawal,50.8,73.62,Competitor,2025-08-11,Competitor made better offer
9249-FXSCK,2021-04-22,Female,20,No,0,1,Churned,4861,0,52,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,One Year,Credit Card,111.25,7667.06,Competitor,2025-08-26,Competitor offered more data
8111-RKSPX,2025-04-14,Male,20,No,0,2,Churned,5668,0,4,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,72.2,425.47,Dissatisfaction,2025-08-19,Service dissatisfaction
9250-WYPLL,2025-03-21,Female,20,No,0,2,Churned,4600,0,5,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,75.55,589.75,Competitor,2025-08-26,Competitor made better offer
6394-MFYNG,2021-08-20,Female,20,No,0,2,Churned,4956,0,48,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Bank Withdrawal,107.4,5370.42,Attitude,2025-08-21,Attitude of support person
7982-VCELR,2022-08-12,Female,20,No,0,4,Stayed,2807,0,36,No Offer,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-to-Month,Credit Card,94.8,4242.43,,,
4785-FCIFB,2020-07-16,Female,20,Yes,0,5,Stayed,4900,10,61,Offer B,Yes,Yes,No,,No,No,No,No,No,No,Two Year,Mailed Check,24.4,2643.39,,,
3758-CKOQL,2020-09-25,Female,20,Yes,0,4,Stayed,4620,7,59,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,One Year,Credit Card,107.0,8580.15,,,
6461-PPAXN,2022-09-08,Female,20,Yes,0,4,Stayed,4858,5,35,No Offer,Yes,No,Yes,Cable,Yes,No,No,Yes,No,No,One Year,Bank Withdrawal,54.95,3392.3,,,
0929-HYQEW,2025-05-22,Male,20,No,0,3,Joined,2085,0,3,No Offer,Yes,No,Yes,DSL,Yes,No,No,No,No,No,Month-to-Month,Credit Card,50.15,213.11,,,
